HVTN 703 AMP VIRUSES,IC50 (ug/ml),,IC80 (ug/ml),
,ePGDM1400v9,ePGT121v1,ePGDM1400v9,ePGT121v1
H703_0013_090Es,0.01,>10,0.03,>10
H703_0203_081_RE_e8A5s,>10,<0.005,>10,0.01
H703_0217_050e_2A3,<0.005,>10,0.02,>10
H703_0279_110s,6.08,0.02,>10,0.07
H703_0472_030s,0.34,>10,>10,>10
H703_0537_011s_2B5,0.02,<0.005,0.09,<0.005
H703_0537_011s_4H1,0.07,<0.005,0.28,<0.005
H703_0566_160s,>10,<0.005,>10,<0.005
H703_0629_150_RE_e5A2s,0.13,0.05,2.47,0.15
H703_0646_051sN,<0.005,9.29,0.04,>10
H703_0739_110s,0.03,0.01,0.24,0.05
H703_0842_200Es,0.02,<0.005,0.11,0.02
H703_0865_070s,>10,0.01,>10,0.06
H703_0926_070s_2H2,0.70,<0.005,3.20,<0.005
H703_1060_080s,>10,0.24,>10,3.32
H703_1104_100_Re10A5s,0.77,1.40,2.53,3.27
H703_1104_100_Re10GS,0.17,0.62,0.67,2.77
H703_1313_040s,<0.005,<0.005,0.005,0.01
H703_1471_190s,0.00,<0.005,0.03,0.01
H703_1675_080s,<0.005,<0.005,0.02,0.01
H703_1675_G613s,0.01,<0.005,0.02,0.02
H703_1750_140Es,>10,<0.005,>10,<0.005
H703_1764_250_RE_cs,>10,<0.005,>10,0.01
H703_1789_230_RE_e3A3s,>10,0.06,>10,0.20
H703_1848_190_RE_e6D1s,4.08,>10,9.18,>10
H703_1889_100Es,<0.005,<0.005,0.01,<0.005
H703_2018_240_RE_e6A1s,<0.005,<0.005,0.01,<0.005
H703_2117_110_RE_e2A10s,<0.005,>10,<0.005,>10
H703_2149_060_RE_eB10s,<0.005,<0.005,0.01,0.02
H703_2304_150_RE_cs,0.01,<0.005,0.48,<0.005
H703_2539_070_RE_e6F6s,>10,0.02,>10,>10
H703_2631_150_RE_e2F8s,<0.005,>10,<0.005,>10
H703_2788_030Es_B1,>10,0.38,>10,0.73
H703_2805_080Es,5.95,>10,>10,>10
V703_0203_081_RE_pblib002_s,>10,<0.005,>10,0.01
V703_0217_050_RE_pblib002_s,0.01,>10,0.01,>10
V703_0279_110_RE_pblib002_s,>10,0.04,>10,0.11
V703_0537_110_RE_pblib003_s,0.14,<0.005,0.63,0.01
V703_0566_160_RE_pblib002_s,>10,<0.005,>10,0.01
V703_0629_150_RE_pblib002_s,0.21,0.06,>10,0.43
V703_0629_150_RE_pblib003_s,0.20,0.13,>10,0.50
V703_0629_150_RE_pblib004_s,0.09,0.22,0.33,1.04
V703_1104_100_RE_pblib001_s,0.57,0.80,2.24,2.76
V703_1298_080_RE_pblib002_s,0.07,>10,0.34,>10
V703_1848_190_RE_pblib002_s,0.04,2.35,0.27,>10
V703_1915_250_RE_sgaA3_s,1.77,<0.005,>10,0.01
V703_2805_080_RE_pblib002_s,>10,>10,>10,>10