0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
H704,a,H704_0575_060_EsN1A,AMP114,SM02-30; TP02-148,a,50%,0.652,0.483,>25,0.657,>25,0.083,2.528,2.063,,,,,
H704,a,H704_0575_060_EsN2T,AMP116,SM02-31; TP02-149,a,50%,0.771,0.73,>25,>25,>25,0.157,1.806,3.167,,,,,
H704,a,H704_2544_140eN01,AMP118,SM02-32; TP02-150,a,50%,0.136,0.176,>25,>25,>25,>25,0.734,2.104,,,,,
H704,a,H704_3008_040EsN,AMP124,TP02-151,a,50%,0.025,,>25,>25,>25,>25,2.424,,,,,,
H704,a,H704_0513_150_eN02C,AMP139,TP02-152,a,50%,0.387,,0.044,>25,>25,>25,1.588,,,,,,
H704,a,H704_0513_150_eN01T,AMP143,TP02-153,a,50%,0.329,,0.49,>25,>25,>25,1.289,,,,,,
H704,a,H704_1183_220EsN,AMP148,TP02-154,a,50%,0.038,,3.666,>25,>25,0.228,0.61,,,,,,
H704,a,H704_1180_070EsN,AMP150,TP02-155; TP02-206,a,50%,0.013,,0.009,0.283,0.114,0.273,0.122,,,,,,
H704,a,H704_2541_080EsN,AMP164,TP02-156,a,50%,0.025,,0.048,0.477,>25,>25,0.269,,,,,,
H704,a,H704_2448_240_RE_cs,AMP166,TP02-157,a,50%,0.01,,>25,>25,>25,7.416,0.067,,,,,,
H704,a,H704_1783_150_RE_cs,AMP167,TP02-158; TP02-207,a,50%,0.009,,0.06,>25,>25,0.353,0.079,,,,,,
H704,a,H704_2095_130_RE_cs,AMP173,TP02-159,a,50%,0.031,,0.147,>25,>25,>25,0.182,,,,,,
H704,a,H704_0944_180_RE_cs,AMP175,TP02-160,a,50%,0.007,,0.367,>25,>25,>25,0.04,,,,,,
H704,a,H704_2839_140_RE_cs,AMP171,TP02-161,a,50%,0.346,,>25,1.771,>25,1.486,2.159,,,,,,
H704,a,H704_1109_140_RE_cs,AMP179,TP02-162,a,50%,2.455,,>25,>25,>25,>25,3.626,,,,,,
H704,a,H704_0575_060_RE_p002s,AMP181,TP02-163,a,50%,0.615,,>25,0.239,>25,0.039,1.993,,,,,,
H704,a,H704_0746_760_RE_p001s,AMP182,TP02-169,a,50%,0.122,,>25,>25,>25,>25,0.994,,,,,,
H704,a,H704_0746_760_RE_p002s,AMP183,TP02-170,a,50%,0.15,,>25,>25,>25,>25,0.977,,,,,,
H704,a,H704_0746_760_RE_p003s,AMP184,TP02-171,a,50%,0.189,,>25,>25,>25,>25,1.579,,,,,,
H704,a,H704_1835_150_RE_p001s_2484A,AMP192,TP02-172,a,50%,0.041,,0.112,0.412,>25,0.113,>25,,,,,,
H704,a,H704_1835_150_RE_p002s_2484A,AMP193,TP02-173,a,50%,0.052,,0.146,0.314,>25,0.101,>25,,,,,,
H704,a,H704_1991_230_RE_p001s_1194T,AMP194,TP02-174,a,50%,0.171,,0.373,>25,>25,0.128,1.348,,,,,,
H704,a,H704_1991_230_RE_p002s_1194T,AMP195,TP02-175; TP02-209,a,50%,0.14,,>25,>25,>25,0.12,1.502,,,,,,
H704,a,H704_2065_060_RE_p001s,AMP310,TP02-212,a,50%,0.028,,>25,>25,>25,>25,0.294,,,,,,
H704,a,H704_2065_060_RE_p002s,AMP197,TP02-176,a,50%,0.037,,>25,>25,>25,>25,0.364,,,,,,
H704,a,H704_2541_080_RE_p001s,AMP201,TP02-177,a,50%,0.033,,0.033,0.755,>25,>25,0.43,,,,,,
H704,a,H704_2684_181_RE_p001s,AMP205,TP02-178,a,50%,0.014,,>25,>25,>25,0.913,0.101,,,,,,
H704,a,H704_2981_150_RE_p001s_2559A,AMP206,TP02-179,a,50%,0.942,,>25,24.65,>25,>25,4.249,,,,,,
H704,a,H704_2981_150_RE_p002s_2559A,AMP207,TP02-180,a,50%,0.304,,>25,16.439,>25,>25,2.498,,,,,,
H704,a,H704_2544_150_RE_p001s,AMP208,TP02-181,a,50%,0.18,,>25,>25,>25,>25,1.301,,,,,,
H704,a,H704_1930_170_RE_c01s_1523A,AMP212,TP02-182,a,50%,0.013,,>25,>25,>25,>25,0.062,,,,,,
H704,a,H704_1930_170_RE_c02s_1523G,AMP213,TP02-183,a,50%,0.023,,>25,>25,>25,>25,0.202,,,,,,
H704,a,H704_0445_180_RE_con_s,AMP218,TP02-184; TP02-210,a,50%,0.021,,0.083,>25,>25,0.08,>25,,,,,,
H704,a,H704_2555_240_RE_con_s_vpuG,AMP222,TP02-185,a,50%,0.033,,>25,2.808,>25,0.151,0.194,,,,,,
H704,a,H704_2834_210_RE_pb001_s,AMP223,TP02-186,a,50%,0.073,,>25,0.922,>25,>25,2.203,,,,,,
H704,a,H704_2834_210_RE_pb002_s,AMP224,TP02-187,a,50%,0.088,,>25,1.179,>25,>25,1.989,,,,,,
H704,a,H704_0128_220_RE_pb001_s,AMP228,TP02-188; TP02-211,a,50%,0.011,,>25,0.194,0.017,22.918,0.102,,,,,,
H704,a,H704_0856_240_RE_pb001_s,AMP229,TP02-189,a,50%,0.055,,1.04,7.845,>25,>25,0.41,,,,,,
H704,a,H704_0886_250_RE_p001s,AMP237,TP02-190,a,50%,0.099,,>25,>25,>25,0.498,1.282,,,,,,
H704,a,H704_2541_080_RE_p003s,AMP243,TP02-191,a,50%,0.018,,0.168,2.872,>25,>25,0.255,,,,,,
H704,a,H704_0026_231_RE_pbsga001_s,AMP245,TP02-192,a,50%,0.088,,>25,>25,>25,>25,0.401,,,,,,
H704,a,H704_0513_150_RE_pblib003_s,AMP247,TP02-193,a,50%,0.354,,0.047,1.468,>25,>25,1.514,,,,,,
H704,a,H704_1180_070_RE_pblib027_s,AMP251,TP02-194,a,50%,0.009,,0.009,0.683,>25,0.388,0.172,,,,,,
H704,a,H704_1528_240_RE_pblib_001_s,AMP253,TP02-195,a,50%,0.114,,1.418,0.04,1.15,0.041,2.14,,,,,,
H704,a,H704_2684_181_RE_pblib006_s,AMP258,TP02-196,a,50%,0.012,,>25,>25,>25,0.97,0.132,,,,,,
H704,a,H704_2981_150_RE_pblib003_s,AMP262,TP02-197,a,50%,0.178,,>25,>25,>25,>25,1.713,,,,,,
H704,a,H704_2981_150_RE_pblib005_s,AMP263,TP02-198,a,50%,0.102,,>25,9.095,>25,>25,2.629,,,,,,
H704,a,H704_3000_240_RE_pbsga002_s,AMP264,TP02-199,a,50%,0.562,,>25,0.145,>25,>25,1.523,,,,,,
V704,a,V704_0372_250_RE_pblib001_s,AMP268,TP02-200,a,50%,0.062,,>25,>25,>25,>25,0.539,,,,,,
H704,a,H704_3000_240_RE_pbsga001_s,AMP277,TP02-201,a,50%,0.392,,>25,0.281,>25,>25,1.094,,,,,,
V704,a,V704_0372_250_RE_pblib002_s,AMP278,,a,50%,,,,,,,,,,,,,
V704,a,V704_0128_220_RE_pblib002_s,AMP281,TP02-202,a,50%,0.034,,>25,2.044,>25,>25,0.181,,,,,,
H704,a,H704_0726_080sN,AMP12,SM02-13; TP02-131,a,80%,1.177,1.827,>25,>25,>25,>25,15.44,>25,,,,,
H704,a,H704_1535_030sN,AMP14,SM02-14; TP02-132,a,80%,0.054,0.052,>25,1.36,>25,5.17,0.367,0.295,,,,,
H704,a,H704_0911_150sN,AMP16,SM02-15; TP02-133,a,80%,3.313,3.259,>25,>25,>25,>25,5.82,>25,,,,,
H704,a,H704_0907_130sN,AMP18,SM02-16; TP02-134,a,80%,0.053,0.075,0.05,0.99,>25,3.53,1.07,3.941,,,,,
H704,a,H704_1429_090_eN1A,AMP28,SM02-17; TP02-135,a,80%,0.212,0.248,>25,>25,>25,>25,0.886,1.366,,,,,
H704,a,H704_1429_090_eN2G,AMP30,SM02-18; TP02-136,a,80%,0.318,0.352,>25,>25,>25,>25,0.732,2.028,,,,,
H704,a,H704_0496_040sN,AMP41,SM02-19; TP02-137,a,80%,2.091,1.994,>25,>25,>25,>25,15.46,5.985,,,,,
H704,a,H704_2788_060eN_12,AMP46,SM02-20; TP02-138,a,80%,0.735,0.839,>25,>25,>25,>25,4.513,4.824,,,,,
H704,a,H704_2767_070sN,AMP58,SM02-21; TP02-139,a,80%,0.184,0.211,0.854,>25,>25,>25,7.32,>25,,,,,
H704,a,H704_2788_060eN_04,AMP68,SM02-22; TP02-140,a,80%,0.714,0.718,>25,>25,>25,>25,6.07,4.952,,,,,
H704,a,H704_1706_050sN,AMP285,SM02-23; TP02-141,a,80%,0.161,0.382,>25,>25,>25,>25,1.018,1.498,,,,,
H704,a,H704_0644_060sN_prelimSeq,AMP105,SM02-24; TP02-142; TP02-204,a,80%,0.816,0.67,>25,>25,>25,>25,2.033,>25,,,,,
H704,a,H704_0847_030_EsN_02C,AMP88,SM02-25; TP02-143; TP02-205,a,80%,0.397,0.421,>25,>25,>25,>25,6.819,14.367,,,,,
H704,a,H704_1775_030cN_SynGtoA_567,AMP93,SM02-26; TP02-144,a,80%,0.073,0.124,1.767,>25,>25,>25,0.271,3.926,,,,,
H704,a,H704_2544_140eN02,AMP95,SM02-27; TP02-145,a,80%,1.339,1.535,0.232,>25,>25,>25,16.613,>25,,,,,
H704,a,H704_0847_030_EsN_01T,AMP102,SM02-28; TP02-146,a,80%,0.269,0.302,>25,>25,>25,>25,7.385,>25,,,,,
H704,a,H704_0855_080_EsN,AMP98,SM02-29; TP02-147,a,80%,0.007,0.01,0.028,>25,>25,>25,0.066,0.998,,,,,
H704,a,H704_0575_060_EsN1A,AMP114,SM02-30; TP02-148,a,80%,2.289,2.104,>25,2.715,>25,0.287,9.315,13.952,,,,,
H704,a,H704_0575_060_EsN2T,AMP116,SM02-31; TP02-149,a,80%,2.44,2.787,>25,>25,>25,0.557,6.592,11.087,,,,,
H704,a,H704_2544_140eN01,AMP118,SM02-32; TP02-150,a,80%,0.346,0.418,>25,>25,>25,>25,3.478,5.57,,,,,
H704,a,H704_3008_040EsN,AMP124,TP02-151,a,80%,0.092,,>25,>25,>25,>25,12.66,,,,,,
H704,a,H704_0513_150_eN02C,AMP139,TP02-152,a,80%,1.007,,1.084,>25,>25,>25,4.094,,,,,,
H704,a,H704_0513_150_eN01T,AMP143,TP02-153,a,80%,0.892,,>25,>25,>25,>25,2.842,,,,,,
H704,a,H704_1183_220EsN,AMP148,TP02-154,a,80%,0.086,,>25,>25,>25,5.842,1.575,,,,,,
H704,a,H704_1180_070EsN,AMP150,TP02-155; TP02-206,a,80%,0.031,,0.027,2.325,>25,6.402,0.428,,,,,,
H704,a,H704_2541_080EsN,AMP164,TP02-156,a,80%,0.071,,0.215,1.791,>25,>25,0.763,,,,,,
H704,a,H704_2448_240_RE_cs,AMP166,TP02-157,a,80%,0.03,,>25,>25,>25,>25,0.267,,,,,,
H704,a,H704_1783_150_RE_cs,AMP167,TP02-158; TP02-207,a,80%,0.027,,>25,>25,>25,>25,0.27,,,,,,
H704,a,H704_2095_130_RE_cs,AMP173,TP02-159,a,80%,0.084,,>25,>25,>25,>25,0.685,,,,,,
H704,a,H704_0944_180_RE_cs,AMP175,TP02-160,a,80%,0.021,,>25,>25,>25,>25,0.233,,,,,,
H704,a,H704_2839_140_RE_cs,AMP171,TP02-161,a,80%,0.731,,>25,8.989,>25,>25,5.581,,,,,,
H704,a,H704_1109_140_RE_cs,AMP179,TP02-162,a,80%,6.788,,>25,>25,>25,>25,10.634,,,,,,
H704,a,H704_0575_060_RE_p002s,AMP181,TP02-163,a,80%,2.171,,>25,0.849,>25,0.193,7.453,,,,,,
H704,a,H704_0746_760_RE_p001s,AMP182,TP02-169,a,80%,0.442,,>25,>25,>25,>25,4.919,,,,,,
H704,a,H704_0746_760_RE_p002s,AMP183,TP02-170,a,80%,0.502,,>25,>25,>25,>25,4.574,,,,,,
H704,a,H704_0746_760_RE_p003s,AMP184,TP02-171,a,80%,0.868,,>25,>25,>25,>25,6.978,,,,,,
H704,a,H704_1835_150_RE_p001s_2484A,AMP192,TP02-172,a,80%,0.187,,1.176,>25,>25,1.291,>25,,,,,,
H704,a,H704_1835_150_RE_p002s_2484A,AMP193,TP02-173,a,80%,0.208,,1.911,>25,>25,0.606,>25,,,,,,
H704,a,H704_1991_230_RE_p001s_1194T,AMP194,TP02-174,a,80%,0.606,,>25,>25,>25,1.054,4.291,,,,,,
H704,a,H704_1991_230_RE_p002s_1194T,AMP195,TP02-175; TP02-209,a,80%,0.523,,>25,>25,>25,0.589,5.906,,,,,,
H704,a,H704_2065_060_RE_p001s,AMP310,TP02-212,a,80%,0.076,,>25,>25,>25,>25,1.026,,,,,,
H704,a,H704_2065_060_RE_p002s,AMP197,TP02-176,a,80%,0.121,,>25,>25,>25,>25,1.062,,,,,,
H704,a,H704_2541_080_RE_p001s,AMP201,TP02-177,a,80%,0.088,,0.161,2.733,>25,>25,0.928,,,,,,
H704,a,H704_2684_181_RE_p001s,AMP205,TP02-178,a,80%,0.044,,>25,>25,>25,>25,0.363,,,,,,
H704,a,H704_2981_150_RE_p001s_2559A,AMP206,TP02-179,a,80%,3.159,,>25,>25,>25,>25,4.249,,,,,,
H704,a,H704_2981_150_RE_p002s_2559A,AMP207,TP02-180,a,80%,0.649,,>25,>25,>25,>25,8.064,,,,,,
H704,a,H704_2544_150_RE_p001s,AMP208,TP02-181,a,80%,0.687,,>25,>25,>25,>25,4.385,,,,,,
H704,a,H704_1930_170_RE_c01s_1523A,AMP212,TP02-182,a,80%,0.04,,>25,>25,>25,>25,0.304,,,,,,
H704,a,H704_1930_170_RE_c02s_1523G,AMP213,TP02-183,a,80%,0.079,,>25,>25,>25,>25,0.698,,,,,,
H704,a,H704_0445_180_RE_con_s,AMP218,TP02-184; TP02-210,a,80%,0.09,,0.557,>25,>25,0.79,>25,,,,,,
H704,a,H704_2555_240_RE_con_s_vpuG,AMP222,TP02-185,a,80%,0.087,,>25,>25,>25,>25,1.286,,,,,,
H704,a,H704_2834_210_RE_pb001_s,AMP223,TP02-186,a,80%,0.211,,>25,3.189,>25,>25,6.306,,,,,,
H704,a,H704_2834_210_RE_pb002_s,AMP224,TP02-187,a,80%,0.3,,>25,5.353,>25,>25,6.752,,,,,,
H704,a,H704_0128_220_RE_pb001_s,AMP228,TP02-188; TP02-211,a,80%,0.032,,>25,10.094,>25,>25,2.048,,,,,,
H704,a,H704_0856_240_RE_pb001_s,AMP229,TP02-189,a,80%,0.164,,>25,>25,>25,>25,1.207,,,,,,
H704,a,H704_0886_250_RE_p001s,AMP237,TP02-190,a,80%,0.354,,>25,>25,>25,>25,6.443,,,,,,
H704,a,H704_2541_080_RE_p003s,AMP243,TP02-191,a,80%,0.05,,>25,>25,>25,>25,0.665,,,,,,
H704,a,H704_0026_231_RE_pbsga001_s,AMP245,TP02-192,a,80%,0.321,,>25,>25,>25,>25,1.428,,,,,,
H704,a,H704_0513_150_RE_pblib003_s,AMP247,TP02-193,a,80%,0.732,,1.89,>25,>25,>25,3.185,,,,,,
H704,a,H704_1180_070_RE_pblib027_s,AMP251,TP02-194,a,80%,0.026,,0.027,3.647,>25,6.066,0.483,,,,,,
H704,a,H704_1528_240_RE_pblib_001_s,AMP253,TP02-195,a,80%,0.114,,>25,0.385,>25,0.181,6.774,,,,,,
H704,a,H704_2684_181_RE_pblib006_s,AMP258,TP02-196,a,80%,0.043,,>25,>25,>25,>25,0.466,,,,,,
H704,a,H704_2981_150_RE_pblib003_s,AMP262,TP02-197,a,80%,0.497,,>25,>25,>25,>25,6.138,,,,,,
H704,a,H704_2981_150_RE_pblib005_s,AMP263,TP02-198,a,80%,0.288,,>25,>25,>25,>25,7.206,,,,,,
H704,a,H704_3000_240_RE_pbsga002_s,AMP264,TP02-199,a,80%,1.597,,>25,8.711,>25,>25,5.788,,,,,,
V704,a,V704_0372_250_RE_pblib001_s,AMP268,TP02-200,a,80%,0.284,,>25,>25,>25,>25,3.416,,,,,,
H704,a,H704_3000_240_RE_pbsga001_s,AMP277,TP02-201,a,80%,1.724,,>25,3.358,>25,>25,3.63,,,,,,
V704,a,V704_0372_250_RE_pblib002_s,AMP278,,a,80%,,,,,,,,,,,,,
V704,a,V704_0128_220_RE_pblib002_s,AMP281,TP02-202,a,80%,0.12,,>25,>25,>25,>25,0.486,,,,,,
